stop_id,,stop_lat,stop_lon,shape_pt_sequence
AS1,A_shp,25.888005,-80.190758,1
AS2,A_shp,25.884777,-80.192726,2
AS3,A_shp,25.88439,-80.198096,3
AS4,A_shp,25.884193,-80.202117,4
AS5,A_shp,25.889401,-80.202653,5
AS6,A_shp,25.889532,-80.205044,6
AS7,A_shp,25.888938,-80.210956,7
AS8,A_shp,25.884425,-80.210751,8
AS9,A_shp,25.883709,-80.214407,9
AS10,A_shp,25.883561,-80.218377,10
AS11,A_shp,25.885613,-80.220424,11
AS12,A_shp,25.888494,-80.22052,12
AS13,A_shp,25.889365,-80.21662,13
AS14,A_shp,25.894251,-80.217042,14
AS15,A_shp,25.894345,-80.221075,15
AS16,A_shp,25.897889,-80.218968,16
AS17,A_shp,25.898082,-80.214977,17
AS18,A_shp,25.898204,-80.211851,18
AS19,A_shp,25.902497,-80.211053,19
AS20,A_shp,25.898444,-80.211416,20
AS21,A_shp,25.894567,-80.211305,21
AS22,A_shp,25.894901,-80.20317,22
AS23,A_shp,25.898683,-80.199295,23
AS24,A_shp,25.89899,-80.19388,24
AS25,A_shp,25.899324,-80.187147,25
AS26,A_shp,25.897274,-80.186824,26
AS27,A_shp,25.893085,-80.186706,27
AS28,A_shp,25.889699,-80.18655,28
BS1,B_shp,25.888005,-80.190758,1
BS2,B_shp,25.890005,-80.194375,2
BS3,B_shp,25.889902,-80.198423,3
BS4,B_shp,25.889681,-80.202511,4
BS5,B_shp,25.892443,-80.202798,5
BS6,B_shp,25.898407,-80.203023,6
BS7,B_shp,25.898708,-80.199303,7
BS8,B_shp,25.88997,-80.192179,8
BS9,B_shp,25.898999,-80.193608,9
BS10,B_shp,25.90037,-80.186619,10
BS11,B_shp,25.903406,-80.186833,11
BS12,B_shp,25.908608,-80.187144,12
BS13,B_shp,25.908615,-80.179372,13
BS14,B_shp,25.904523,-80.1792,14
BS15,B_shp,25.904285,-80.175139,15
BS16,B_shp,25.902108,-80.176745,16
BS17,B_shp,25.900592,-80.17827,17
BS18,B_shp,25.899762,-80.18106,18
BS19,B_shp,25.897272,-80.182868,19
BS20,B_shp,25.894242,-80.182728,20
BS21,B_shp,25.890185,-80.18252,21
BS22,B_shp,25.891764,-80.184381,22
BS23,B_shp,25.893439,-80.186498,23
BS24,B_shp,25.895819,-80.188458,24
BS25,B_shp,25.895536,-80.193648,25
BS26,B_shp,25.88991,-80.192172,26
BS27,B_shp,25.890299,-80.189315,27
BS28,B_shp,25.889699,-80.18655,28
CS1,C_shp,25.888005,-80.190758,1
CS2,C_shp,25.890058,-80.189293,2
CS3,C_shp,25.893461,-80.186468,3
CS4,C_shp,25.899435,-80.186662,4
CS5,C_shp,25.899403,-80.185017,5
CS6,C_shp,25.897272,-80.182868,6
CS7,C_shp,25.897111,-80.180815,7
CS8,C_shp,25.899576,-80.179011,8
CS9,C_shp,25.903427,-80.175213,9
CS10,C_shp,25.900164,-80.174548,10
CS11,C_shp,25.90006,-80.169987,11
CS12,C_shp,25.900286,-80.166049,12
CS13,C_shp,25.900148,-80.163862,13
CS14,C_shp,25.90182,-80.159654,14
CS15,C_shp,25.906168,-80.158353,15
CS16,C_shp,25.903102,-80.159951,16
CS17,C_shp,25.900845,-80.160494,17
CS18,C_shp,25.897014,-80.161685,18
CS19,C_shp,25.8939,-80.162582,19
CS20,C_shp,25.893578,-80.164669,20
CS21,C_shp,25.891267,-80.166429,21
CS22,C_shp,25.889514,-80.166437,22
CS23,C_shp,25.890745,-80.170159,23
CS24,C_shp,25.890975,-80.172653,24
CS25,C_shp,25.89081,-80.174767,25
CS26,C_shp,25.890671,-80.178811,26
CS27,C_shp,25.88916,-80.182496,27
DS1,D_shp,25.895337,-80.162189,1
DS2,D_shp,25.893578,-80.164669,2
DS3,D_shp,25.891267,-80.166429,3
DS4,D_shp,25.889258,-80.165569,4
DS5,D_shp,25.889296,-80.162328,5
DS6,D_shp,25.885903,-80.161744,6
DS7,D_shp,25.88769,-80.158424,7
DS8,D_shp,25.889599,-80.161967,8
DS9,D_shp,25.894203,-80.162213,9
DS10,D_shp,25.89678,-80.161274,10
DS11,D_shp,25.899704,-80.160473,11
DS12,D_shp,25.899845,-80.158501,12
DS13,D_shp,25.900029,-80.150755,13
DS14,D_shp,25.900384,-80.152714,14
DS15,D_shp,25.900514,-80.160139,15
DS16,D_shp,25.906243,-80.158423,16
DS17,D_shp,25.910257,-80.156836,17
DS18,D_shp,25.914946,-80.156111,18
DS19,D_shp,25.915448,-80.148022,19
DS20,D_shp,25.91111,-80.139989,20
DS21,D_shp,25.915664,-80.148744,21
DS22,D_shp,25.914616,-80.156812,22
DS23,D_shp,25.910443,-80.163004,23
DS24,D_shp,25.906992,-80.167127,24
DS25,D_shp,25.904258,-80.167065,25
DS26,D_shp,25.900216,-80.166037,26
DS27,D_shp,25.89954,-80.160876,27
DS28,D_shp,25.896687,-80.161724,28
