stop_id,stop_name,stop_lat,stop_lon
AS1,12220 Griffing BLVD - Griffing Center,25.888005,-80.190758 
AS2,W Dixie Hwy & NE 119th ST,25.884777,-80.192726 
AS3,119 ST & N Miami AVE -Gratigny Elementary,25.884390,-80.198096 
AS4,NW2ndAVE&NW119ST,25.884193,-80.202117 
AS5,NW2AVE&125ST,25.889401, -80.202653
AS6,125ST&NW4AVE,25.889532, -80.205044  
AS7,NW7AVE&125ST,25.888938, -80.210956 
AS8,NW7AVE&120ST,25.884425, -80.210751 
AS9,NW119ST&NW10AVE,25.883709, -80.214407 
AS10,NW119ST&12AVE,25.883561, -80.218377 
AS11,NW 13 AVE & 121 ST - Oleander Park,25.885613, -80.220424 
AS12,NW 13 AVE & 125 ST - Sunkist Grove Center,25.888494, -80.220520
AS13,NW 11 AVE & 125 ST - Thomas Sasso Pool,25.889365, -80.216620 
AS14,NW 11 Avenue & 131 Street,25.894251, -80.217042 
AS15,NW 131 ST & 13 AVE - Ben Franklin,25.894345, -80.221075 
AS16,NW 135 & 12 AVE - Joe Celestin Center,25.897889, -80.218968 
AS17,135 ST & NW 12 AVE - Claude Pepper Park,25.898082, -80.214977 
AS18,135ST&NW7AVE,25.898204, -80.211851 
AS19,NW7AVE&139ST - Flea Market,25.902497, -80.211053 
AS20,NW7AVE&135ST - Southbound,25.898444, -80.211416 
AS21,131ST&NW6AVE,25.894567, -80.211305
AS22,131ST&NW2AVE,25.894901, -80.203170
AS23,135ST&NMiamiAVE,25.898683, -80.199295 
AS24,NE 135 ST & Memorial Hwy,25.898990, -80.193880 
AS25,135ST&NE6AVE,25.899324, -80.187147 
AS26,NE6AVE&133ST,25.897274, -80.186824 
AS27,NE 6 AVE & 128 ST - Across from Publix,25.893085, -80.186706 
AS28,NE 6 AVE & 124 Street,25.889699, -80.186550 
BS1,12220 Griffing BLVD - Griffing Center,25.888005,-80.190758  
BS2,125 ST & NE 2 AVE - Breezeswept Tot-Lot,25.890005, -80.194375 
BS3,125ST&NMiamiAve,25.889902, -80.198423 
BS4,NW2AVE&125ST,25.889681, -80.202511 
BS5,NW2AVE&NW128ST,25.892443, -80.202798 
BS6,NW2AVE&NW135ST,25.898407, -80.203023 
BS7,135ST&NMiamiAVE,25.898708, -80.199303 
BS8,135 ST & Memorial Highway,25.889970, -80.192179 
BS9,NE135ST&NE5AVE,25.898999, -80.193608 
BS10,NE 6 AVE & 136 ST - NM Middle/Arch Creek Elem. ,25.900370, -80.186619
BS11,NE6AVE&140ST,25.903406, -80.186833 
BS12,NE6AVE&NE145ST-NMElementary,25.908608, -80.187144 
BS13,NE10AVE&145ST,25.908615, -80.179372 
BS14,NE10AVE&140ST,25.904523, -80.179200
BS15,NE12AVE&NE140ST,25.904285, -80.175139 
BS16,WDixieHWY&NE11AVE,25.902108, -80.176745  
BS17,W Dixie HWY & 136 ST - Swift Laundry, 25.900592, -80.178270 
BS18,NE135ST&NE9AVE,25.899762, -80.181060  
BS19,NE 8 AVE & NE 133 ST - Library/NM Senior HS,25.897272, -80.182868 
BS20,NE8AVE&129ST,25.894242, -80.182728 
BS21,NE8AVE&NE125ST-CityHall,25.890185, -80.182520  
BS22,NE7AVE&NE127ST,25.891764, -80.184381  
BS23,NE6AVE&128ST-Publix,25.893439, -80.186498
BS24,131ST&NE5AVE,25.895819, -80.188458  
BS25,131 ST & Griffing BLVD,25.895536, -80.193648 
BS26,NE 125 ST & Griffing BLVD,25.889910, -80.192172 
BS27,125ST&NE4CT,25.890299, -80.189315 
BS28,NE6AVE &NE124ST,25.889699, -80.186550  
CS1,12220 Griffing BLVD - Griffing Center,25.888005,-80.190758  
CS2,125 ST & NE 4 CT - near President Supermarket,25.890058, -80.189293 
CS3,NE6AVE&128ST-nearPublix,25.893461, -80.186468 
CS4,NE 6 AVE & 135 ST - Holy Cross Church,25.899435, -80.186662 
CS5,NE135ST&NE7AVE-NMMiddleSchool,25.899403, -80.185017 
CS6,NE 8 AVE & 133 ST - North Miami Library,25.897272, -80.182868 
CS7,W Dixie HWY & NE 132 ST - Shalom Church,25.897111, -80.180815
CS8,WDixieHWY&NE135ST,25.899576, -80.179011 
CS9,WDixieHWY&139ST,25.903427, -80.175213 
CS10,NE135ST&NE12AVE-FirstChurchofNM,25.900164, -80.174548 
CS11,NE135ST&134Rd,25.900060, -80.169987 
CS12,NE 135 ST & NE 16 AVE - Enchanted Forest Park,25.900286, -80.166049 
CS13,NE 135 & Arch Creek Rd,25.900148, -80.163862
CS14,Biscayne BLVD & 135 ST,25.901820, -80.159654
CS15,Biscayne BLVD & 140 ST - Target,25.906168, -80.158353
CS16,Biscayne BLVD & 137 ST,25.903102, -80.159951
CS17,Biscayne BLVD & NE 135 ST Southbound,25.900845, -80.160494 
CS18,Biscayne BLVD & NE 130 ST - Navarro,25.897014, -80.161685
CS19,Biscayne BLVD & NE 128 ST - Publix,25.893900, -80.162582 
CS20,NE128ST&NE17AVE-Johnson&Wales,25.893578, -80.164669  
CS21,NE16AVE&125ST,25.891267, -80.166429 
CS22,NE 123 ST & 16 AVE - Gwen Margolis Center,25.889514, -80.166437 
CS23,NE 123 ST & 14 AVE - Three Horizons Condo,25.890745, -80.170159 
CS24,125ST&NE13AVE,25.890975, -80.172653 
CS25,NE 125 ST & 12 AVE- WJB Elementary,25.890810, -80.174767 
CS26,NE125ST&10AVE,25.890671, -80.178811 
CS27,NE8AVE&125ST-CityHall,25.889160, -80.182496 
DS1,Biscayne BLVD & NE 128 ST - Publix,25.895337, -80.162189 
DS2,NE 128 ST & 17 AVE - Johnson & Wales,25.893578, -80.164669 
DS3,NE 16 AVE & 125 ST,25.891267, -80.166429 
DS4,NE 123 ST & 16 AVE - Whole Foods,25.889258, -80.165569 
DS5,NE 123 ST & NE 18 AVE - near Walgreens,25.889296, -80.162328
DS6,Sans Souci Blvd & 18 AVE - Tennis Center,25.885903, -80.161744
DS7,Sans Souci BLVD & NE 121 ST,25.887690, -80.158424 
DS8,123 ST & NE 18 AVE,25.889599, -80.161967 
DS9,Biscayne BLVD & 128 ST,25.894203, -80.162213 
DS10,Biscayne BLVD & NE 131 ST,25.896780, -80.161274 
